emotion,sentence
Fear,I think they feared that we wouldn't at that stage we'd be opening up free for all of the kind which we've obviously been seeking to avoid thus far.
Anger,"Now though, the gloves are off."
Contempt,The more likely reason for this move is a tit for tat reaction.
Anger,"What do they say, they're up in arms?"
Neutral,"Well, I think cause suffering whatever it happens, but, surely why, I mean the elderly had to suffer through the wars so why should they have to suffer again now?"
Ambiguous,"I've got my shoulder, my stomach er, I'm in the wars today."
Neutral,How long that will last is a moot point.
Ambiguous,"Er, she says that she's er, there's absolutely nothing doing just at the moment."
Joy,"I managed to win a couple of quid on Deano to score the first goal, at odds of 7-1."
Neutral,"Perhaps a bird had carried it down, as the dove had borne the olive branch."
Disapproval,"Indeed, it was out of the question given the dollar's enfeebled position."
Anger,"Over my dead body, I said."
Joy,Bernice made a vow never to pick a fight with him.
Anger,Don't you pick holes in my religion.
Contempt,"A clerk of Durham, collecting church-dues with an armed escort from Melrose, came into conflict yesterday evening with an equally large party of Normans under Flodwig of Dol, and a running battle ensued."
Aggression,Roofer Clive Tibbett clocked up an ear-shattering 118.7 decibels in the shouting match.
Neutral,"I might be wrong, but I don't think so, but I have to sit on the fence you see as I get into trouble."
Trust,Don't split hairs.
Optimism,"That was a long time ago, there's been a lot of water under the bridge, why not talk again?"
Optimism,"Having won already this season on the main tour  he believes he has it in him to do so again, though not to wipe the slate clean after his defeat in a play-off against Nick Faldo in 1990."
Surprise,"The ad-man opposite had been casting meaningful glances at her all evening, and the likeliest explanation seemed to be that she and Roger were doing a number together and I'd inadvertently got caught in the crossfire."
Surprise,"They wondered why it was that the storm had left them in this stifling, steamy condition when storms were supposed to clear the air."
Remorse,"They're telling me to go on the stage and act, but I can't do it, it's the one thing Mum and Dad are dead set against."
Disapproval,Yeah I'm acting as devil 's advocate in a sense.
Neutral,No we've got we've got twenty or thirty girls back there hammer and tongs.
Submission,We will let bygones be bygones.
Ambiguous,He was quite determined to let sleeping dogs lie.
Anger,"The two bodies are often at loggerheads, and there are constant disputes over methods."
Anticipation,Today the world's top giant slalom men lock horns for vital early points in the World Cup battle which ends next March in Sweden.
Contempt,There's no love lost.
Ambiguous,A stylus that is tracking accurately tends not to make a mountain out of a molehill in the groove.
Anticipation,"And he can't wait to start work on a movie version of the bard's famous play, Much Ado About Nothing."
Submission,"Then you argue the toss amongst yourselves really, but you've got, you have to."
Neutral,All hell broke loose.
Aggression,The battle lines are drawn.
Aggression,Their relationship was characterized by a battle of wills that Constance always made sure to win.
Anger,But Ilona's alter-ego remains a bone of contention between them.
Disapproval,"Dear Father Christmas, I have a bone to pick with you."
Disapproval,He was really in the bad books over that.
Neutral,Will you bury the hatchet for a while and dance with me?
Surprise,"She was tempted to call his bluff, hardly able to believe he'd carry out his threat."
Anger,"Now if we were actually to do that in our service books, which is what one of the things that the Methodist conference suggests we consider, just crossing out and putting in the correct non-sexists language, I bet you that eighty percent of our church would be up in arms."
Contempt,Then get off my back and I'll work on my own.
Anger,"Somebody's in a black mood, they were objecting to that."
Anticipation,The electronic scoreboard at Leeds Road could blow a fuse when the Aussies play us next month.
Anger,You're a bit cheesed off are you Teresa?
Disapproval,"Emulating its action against Hirac Inc in the US, Sparc International, the evangelising supporters group for Sun Microsystems Inc's RISC has come down like a ton of bricks on a small UK start-up trying to carve a living out of the Sparc-compatible space."
Disapproval,Come on for crying out loud.
Love,"No, me wanna cut it out tomorrow."
Love,"There's only one thing I'd like to do, beloved, and that's eat you alive."
Fear,But I don't want you to fly off the handle.
Neutral,"Meanwhile, the bristling bloodhounds of the sea lift the flesh along their backs, foam at the mouth dramatically and drop their heads to sniff for tracks."
Ambiguous,"Kick the bucket, eat humble pie, get your knickers in a twist all look like fairly complex transitive constructions."
Anger,"Oh yeah, yeah used to get on my nerves."
Disapproval,Will you give it a rest love.
Neutral,Officers at Darlington Borough Council say the gloves are off in the battle for compensation over the town's 12m Dolphin Centre sports complex.
Neutral,"If I meet a new act, I always try and assess their maturity in order to judge whether they might go off the deep end as soon as they have success."
Anger,He'd go spare.
Fear,Now on top of her injuries her insurance is set to go through the roof.
Contempt,Good riddance.
Neutral,"Well, he did rather harp on what a lot of money he spent."
Sadness,"Hey, d' you hear about the fire-eater who couldn't go anywhere without meeting an old flame, made him feel really hot under the collar."
Anticipation,"They plan to be back in Europe in October or November, and if their performances are anything like the last London one, you'll kick yourself for missing them."
Disapproval,"Look here, there's no need to make a song and dance of it."
Anger,Can't you mind your own business?
Anger,"This quick temper that flared at nothing, that was new."
Fear,In terms of how rant and rave for probably not very long and you don't get aggressive behaviour.
Anger,"Glancing at those muscular knees, ruddy beneath the hem of his pleated tunic, she made up her mind that if he ever attempted to spank her again she would scream blue murder."
Neutral,"Now she could see red houses, swimming-pools, race tracks, skyscrapers sticking up like teeth, and roads and railways so uniformly crisscross they seemed like tiles on a vast kitchen floor."
Disapproval,Tom's a chap with a temper on a short fuse.
